title,date,duration_s,enclosure_url,enclosure_bytes,guid
#93 – Daphne Koller: Biomedicine and Machine Learning,2020-05-05,4351,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_daphne_koller.mp3,53024837,https://lexfridman.com/?p=4230
#94 – Ilya Sutskever: Deep Learning,2020-05-08,5875,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ilya_sutskever.mp3,72323057,https://lexfridman.com/?p=4233
#95 – Dawn Song: Adversarial Machine Learning and Computer Security,2020-05-12,7984,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_dawn_song.mp3,97589654,https://lexfridman.com/?p=4237
"#96 – Stephen Schwarzman: Going Big in Business, Investing, and AI",2020-05-15,4244,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_stephen_schwarzman.mp3,51494363,https://lexfridman.com/?p=4240
#97 – Sertac Karaman: Robots That Fly and Robots That Drive,2020-05-20,4998,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_sertac_karaman.mp3,60969872,https://lexfridman.com/?p=4244
#99 – Karl Friston: Neuroscience and the Free Energy Principle,2020-05-28,5369,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_karl_friston.mp3,65260670,https://lexfridman.com/?p=4251
#101 – Joscha Bach: Artificial Consciousness and the Nature of Reality,2020-06-13,10845,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_joscha_bach.mp3,132483098,https://lexfridman.com/?p=4259
#102 – Steven Pressfield: The War of Art,2020-06-20,5276,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_steven_pressfield.mp3,64544762,https://lexfridman.com/?p=4262
#103 – Ben Goertzel: Artificial General Intelligence,2020-06-22,14965,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ben_goertzel.mp3,181622681,https://lexfridman.com/?p=4266
#104 – David Patterson: Computer Architecture and Data Storage,2020-06-27,6619,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_david_patterson.mp3,80524239,https://lexfridman.com/?p=4269
#105 – Robert Langer: Edison of Medicine,2020-06-30,3762,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_bob_langer.mp3,46191926,https://lexfridman.com/?p=4273
"#106 – Matt Botvinick: Neuroscience, Psychology, and AI at DeepMind",2020-07-03,7260,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_matt_botvinick.mp3,88277919,https://lexfridman.com/?p=4277
"#107 – Peter Singer: Suffering in Humans, Animals, and AI",2020-07-08,4181,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_peter_singer.mp3,51106944,https://lexfridman.com/?p=4303
